buttonLabel,buttonValue
A,32
B,2
O,67
AB,0.00001
D,83
D+C+c+E-e+,28
D+C+c-E-e+,14
D+C+c+E+e+,18
D+C-c+E+e+,12
D+C-c+E+e-,5.8
D+C-c+E-e+,4.2
D+C+c-E+e+,0.8
D+C+c+E+e-,0.8
D+C+c-E+e-,0.00001
D-C-c+E-e+,17
D-C+c+E-e+,0.8
D-C-c+E+e+,0.00001
D-C+c+E+e+,0.00001
D-C+c-E-e+,0.00001
D-C-c+E+e-,0.00001
C,62
E,37
c,85
e,93
Cw,1.7
V,3
VS,3
hrS,93
hrB,93
K,6
k,100
Kpa,0.8
Kpb,100
Jsa,1.7
Jsb,100
Jka,72
Jkb,76
Fya,77
Fyb,68
Fy3,100
M,88
N,55
S,53
s,87
U,100
Mia,0.8
Lua,5.8
Lub,99
Dia,1.7
Dib,100
Doa,58
Dob,88
Hy,100
Joa,100
Coa,100
Cob,0.83
Yta,100
Ytb,7.5
D+C-E-K-Jkb-,0.8
D+C-E-K-Jkb-,0.00001
